Gene ID	2dpi	2dpi	3dpi	3dpi
PITG_20687	10.72	5.07	27.17	23.28
PITG_20688	160.57	94.19	43.69	38.56
PITG_20689	84.94	50.55	77.54	84.85
PITG_20690	0.0	3.44	1.9	1.39
PITG_20691	13.45	0.0	3.16	1.85
PITG_20692	13.19	12.47	0.68	0.91
PITG_20491	67.23	84.72	246.81	234.98
PITG_20492	0.0	11.16	4.69	5.21
PITG_20493	0.0	8.8	0.48	0.61
PITG_20494	0.0	11.46	4.73	4.79
PITG_20496	15.0	11.82	8.36	8.21
PITG_20548	10.07	30.94	40.72	38.08
PITG_20549	23.0	0.0	7.52	4.4
PITG_21003	12.52	0.0	2.3	1.5
PITG_20790	14.26	0.0	15.81	15.19
PITG_20791	14.62	13.82	6.37	4.55
PITG_33472	403.63	0.0	327.51	324.79
PITG_20792	35.41	47.41	41.35	42.22
PITG_20793	28.03	26.49	48.06	51.15
PITG_20794	29.52	15.95	27.91	29.47
PITG_20795	1357.81	1535.77	3029.05	2856.68
PITG_20796	48.34	98.99	52.94	46.18
PITG_20797	51.99	40.2	51.17	53.56
PITG_20798	152.67	234.48	146.42	148.43
PITG_20799	144.39	12.41	95.44	98.01
PITG_20800	21.02	7.95	25.12	25.96
PITG_20801	10.0	37.82	14.17	14.36
PITG_23191	30.28	22.9	18.68	18.62
PITG_23192	283.54	204.93	223.9	217.53
PITG_20803	46.14	18.36	23.93	25.22
PITG_20999	41.56	44.19	47.07	47.24
PITG_21000	80.09	71.72	58.91	56.54
PITG_20400	14.39	0.0	4.54	4.22
PITG_20401	0.0	9.93	0.24	0.44
PITG_20779	0.0	0.0	5.6	8.21
PITG_20780	24.98	18.47	24.71	25.7
PITG_20785	17.94	0.0	1.65	2.15
PITG_20786	0.0	0.0	1.1	0.68
PITG_20787	3.9	7.37	7.69	7.44
PITG_20581	13.29	5.03	0.12	0.06
PITG_20582	6.58	24.88	0.0	0.05
PITG_20584	3.78	0.0	4.64	3.98
PITG_20585	81.24	89.94	62.98	63.88
PITG_20589	75.95	51.28	71.39	89.02
PITG_20590	0.0	12.16	0.85	1.0
PITG_20591	0.0	0.0	2.85	2.9
PITG_20592	0.0	0.0	0.22	0.23
PITG_20593	41.02	48.46	7.46	8.32
PITG_20599	24.78	17.57	40.36	51.3
PITG_20601	6.13	0.0	0.49	0.92
PITG_20602	0.0	2.27	5.96	5.88
PITG_20603	0.0	0.0	0.08	0.32
PITG_20604	0.0	0.0	3.06	3.88
PITG_20907	6.81	0.0	11.56	11.25
PITG_20908	0.0	0.0	4.74	4.63
PITG_20909	9.71	18.36	4.96	5.41
PITG_20831	7.78	19.6	13.56	12.13
PITG_20836	18.72	0.0	3.52	3.64
PITG_20634	22.38	0.0	10.43	11.35
PITG_20636	0.0	11.77	7.22	6.63
PITG_20637	4.33	8.18	6.48	4.12
PITG_20646	0.0	0.0	8.49	8.6
PITG_20647	0.0	0.0	5.19	3.56
PITG_20675	14.0	0.0	5.19	5.83
PITG_20676	11.63	15.7	26.25	24.29
PITG_20677	0.0	6.33	1.34	1.36
PITG_20681	3.05	2.88	1.33	1.37
PITG_20682	0.0	0.0	1.13	1.47
PITG_20683	0.0	9.56	13.23	13.5
PITG_20837	9.86	18.63	4.58	3.54
